timestamp,x,y,radius_px,in_text_region
180.605349,0.454288,0.598790,253.5,0
180.692835,0.428954,0.598890,275.0,0
180.775488,0.420833,0.599074,283.5,0
180.859163,0.420833,0.599074,283.5,0
180.943590,0.420833,0.599074,283.5,0
181.032245,0.420833,0.599074,283.5,0
181.118271,0.420833,0.599074,283.5,0
181.203343,0.420833,0.599074,283.5,0
181.286455,0.420833,0.599074,283.5,0
181.371592,0.377413,0.942993,248.9,0
181.455889,0.377149,0.942989,249.3,0
181.552588,0.377941,0.943001,247.9,0
181.640187,0.377687,0.942997,248.3,0
181.733539,0.378457,0.943009,246.9,0
181.827838,0.379513,0.943025,244.9,0
181.918471,0.379483,0.937424,243.7,0
182.001264,0.422917,0.247222,189.0,0
182.081697,0.481250,0.094444,74.1,0
183.507892,0.353646,0.079167,93.6,0
183.617833,0.425521,0.281481,171.0,0
183.724019,0.465943,0.599074,248.2,0
183.834122,0.426085,0.604630,283.3,0
183.944112,0.426042,0.248611,190.4,0
184.055824,0.423958,0.249537,188.4,0
184.170146,0.423698,0.249074,187.0,0
184.281325,0.429868,0.599350,273.6,0
184.397065,0.450140,0.598990,255.5,0
184.506338,0.420770,0.601901,282.0,0
184.629764,0.424479,0.252315,186.9,0
184.747582,0.423958,0.254630,185.2,0
184.867140,0.423958,0.253704,186.0,0
184.986415,0.424219,0.253704,186.4,0
185.103594,0.350000,0.081481,92.0,0
185.217624,0.350781,0.081019,91.7,0
185.330926,0.423698,0.254167,185.3,0
185.450293,0.357292,0.088426,79.6,0
185.538952,0.399479,0.902315,200.1,0
185.628861,0.633707,0.127888,192.7,1
185.712347,0.373147,0.931026,251.2,0
185.795876,0.375521,0.965741,257.5,0
185.878021,0.422656,0.250000,184.4,0
185.965022,0.423689,0.607604,283.1,0
186.054263,0.435964,0.605368,270.0,0
186.135734,0.434556,0.600913,266.8,0
186.222109,0.434397,0.600502,266.6,0
186.299140,0.465885,0.599074,250.8,0
186.382744,0.625260,0.158796,133.1,1
186.465252,0.634899,0.154584,141.3,1
186.549177,0.641667,0.152778,140.4,1
186.631764,0.648698,0.150000,135.1,1
186.716980,0.661760,0.146296,150.6,1
186.801189,0.680990,0.159259,166.0,1
186.882860,0.694271,0.160648,169.3,1
186.964833,0.702083,0.156019,164.3,1
187.050073,0.708694,0.157870,159.7,1
187.133320,0.724740,0.151852,162.6,1
187.218033,0.749219,0.146296,181.4,1
187.299026,0.770012,0.137817,179.9,1
187.382908,0.778848,0.141121,167.4,1
187.467322,0.784026,0.134374,156.2,1
187.549486,0.810915,0.130627,179.7,1
187.633047,0.829688,0.125926,186.2,1
187.716111,0.837240,0.124074,175.3,1
187.798757,0.847917,0.129630,161.5,1
187.882199,0.857812,0.132407,156.5,1
187.967147,0.842448,0.129167,192.9,1
188.052862,0.463329,0.458709,106.8,0
188.133361,0.654167,0.156944,224.6,1
188.218869,0.623698,0.157870,186.4,1
188.298854,0.605208,0.161111,156.3,1
188.381020,0.600382,0.163159,144.8,1
188.468656,0.598958,0.162037,140.9,1
188.547631,0.597917,0.164352,134.4,1
188.623016,0.596875,0.163426,129.8,1
188.707149,0.596882,0.172628,123.5,1
188.790239,0.598698,0.175463,119.0,1
188.873883,0.600521,0.175000,114.7,1
188.958708,0.607836,0.174537,122.5,1
189.043786,0.624982,0.178027,141.2,1
189.122960,0.629395,0.181846,136.8,1
189.206680,0.634357,0.183990,135.9,1
189.289807,0.637240,0.184259,132.0,1
189.372882,0.640625,0.183796,127.4,1
189.456585,0.642448,0.181481,124.1,1
189.539321,0.644532,0.179514,120.4,1
189.615993,0.646091,0.181523,116.6,1
189.697967,0.648804,0.185107,117.0,1
189.781861,0.656510,0.182407,121.9,1
189.865500,0.664634,0.183333,130.3,1
189.948415,0.675501,0.182407,139.4,1
190.033734,0.678125,0.178704,137.1,1
190.116003,0.687240,0.181944,143.8,1
190.198888,0.705192,0.187037,162.3,1
190.281546,0.710460,0.183002,157.3,1
190.366028,0.725000,0.185648,168.9,1
