timestamp,label,text_id
1783006753.833182,text_start,21
1783006917.195666,text_end,21
1783007004.474928,text_start,22
1783007168.557207,text_end,22
1783007238.923627,text_start,23
1783007364.348156,text_end,23
1783007458.693213,text_start,24
1783007595.311908,text_end,24
1783007694.909950,text_start,25
1783007813.241174,text_end,25
1783008109.725038,text_start,26
1783008216.415970,text_end,26
1783008295.146065,text_start,27
1783008402.728363,text_end,27
1783008553.412323,text_start,28
1783008731.754497,text_end,28
1783008819.902820,text_start,29
1783008922.028367,text_end,29
1783009037.436244,text_start,30
1783009159.992451,text_end,30
1783249984.904229,text_start,31
1783250112.955737,text_end,31
1783250306.277209,text_start,32
1783250430.674572,text_end,32
1783250486.598611,text_start,33
1783250629.136692,text_end,33
1783250876.815067,text_start,34
1783250977.593989,text_end,34
1783251034.594135,text_start,35
1783251160.352137,text_end,35
1783251226.361210,text_start,36
1783251343.308015,text_end,36
1783251446.829222,text_start,37
1783251550.624464,text_end,37
1783251672.540236,text_start,38
1783251815.438699,text_end,38
1783252115.718978,text_start,39
1783252241.308088,text_end,39
1783252359.116447,text_start,40
1783252489.522892,text_end,40
1783252611.165628,text_start,41
1783252733.364599,text_end,41
1783252824.773973,text_start,42
1783252909.939251,text_end,42
1783252956.754117,text_start,43
1783253078.607991,text_end,43
1783253153.993634,text_start,44
1783253241.881451,text_end,44
1783253296.022979,text_start,45
1783253427.020911,text_end,45
1783253515.473045,text_start,46
1783253577.988739,text_end,46
1783253643.860857,text_start,47
1783253746.185145,text_end,47
1783253823.917359,text_start,48
1783253938.479272,text_end,48
1783253995.038424,text_start,49
1783254109.982432,text_end,49
1783254287.339354,text_start,50
1783254356.234405,text_end,50
1783254616.873948,text_start,51
1783254727.589003,text_end,51
1783254798.103158,text_start,52
1783254882.606925,text_end,52
1783255007.311130,text_start,53
1783255119.330829,text_end,53
1783255218.585462,text_start,54
1783255286.513851,text_end,54
1783255357.738970,text_start,55
1783255475.003147,text_end,55
1783255534.371444,text_start,56
1783255611.644689,text_end,56
1783255672.236406,text_start,57
1783255792.000637,text_end,57
1783255852.752455,text_start,58
1783255940.232776,text_end,58
1783255995.188827,text_start,59
1783256100.438007,text_end,59
1783256181.325853,text_start,60
1783256252.802142,text_end,60
1783267448.096557,text_start,61
1783267539.374485,text_end,61
1783267664.068010,text_start,62
1783267735.597269,text_end,62
1783267808.765304,text_start,63
1783267941.222556,text_end,63
1783268008.652706,text_start,64
1783268073.589138,text_end,64
1783268129.963092,text_start,65
1783268254.073001,text_end,65
1783268573.654692,text_start,66
1783268643.278579,text_end,66
1783268694.213830,text_start,67
1783268796.918343,text_end,67
1783268851.802843,text_start,68
1783268932.133885,text_end,68
1783268983.651530,text_start,69
1783269068.518215,text_end,69
1783269161.814242,text_start,70
1783269265.501997,text_end,70
1783269424.931316,text_start,71
1783269586.197865,text_end,71
1783269742.150525,text_start,72
1783269811.831692,text_end,72
1783269889.666144,text_start,73
1783269988.080446,text_end,73
1783270095.763927,text_start,74
1783270166.678206,text_end,74
1783270217.523496,text_start,75
1783270319.633998,text_end,75
1783270439.588947,text_start,76
1783270518.016663,text_end,76
1783270571.920268,text_start,77
1783270679.681573,text_end,77
1783270723.610951,text_start,78
1783270790.534406,text_end,78
1783270901.946533,text_start,79
1783271019.340066,text_end,79
1783271152.486155,text_start,80
1783271210.127176,text_end,80
