timestamp,x,y,radius_px,in_text_region
24743.131063,0.412240,0.915741,56.3,0
24743.215422,0.442303,0.909977,118.3,0
24743.298980,0.442151,0.916902,120.2,0
24743.382249,0.464373,0.445932,101.1,0
24743.465854,0.415660,0.940741,176.7,0
24743.547531,0.433037,0.939604,145.8,0
24743.632114,0.415180,0.899074,170.1,0
24743.714175,0.444168,0.940062,126.4,0
24743.798485,0.414431,0.941772,180.2,0
24743.881113,0.443820,0.940902,127.4,0
24743.964479,0.443294,0.940870,128.3,0
24744.050068,0.442932,0.941759,128.5,0
24744.132825,0.465591,0.451304,103.0,0
24744.215115,0.442807,0.942633,128.2,0
24744.298518,0.442940,0.942647,128.9,0
24744.383652,0.465388,0.451764,103.6,0
24744.469145,0.414377,0.943111,179.9,0
24744.548589,0.416582,0.944907,176.2,0
24744.630274,0.427488,0.943762,156.1,0
24744.713856,0.427225,0.943758,156.6,0
24744.797795,0.418648,0.942781,172.3,0
24744.879252,0.443591,0.943096,128.4,0
24744.953823,0.417048,0.942699,175.2,0
24745.030211,0.445046,0.942262,125.5,0
24745.112108,0.445039,0.943118,126.0,0
24745.187972,0.444389,0.943981,126.6,0
24745.264144,0.443588,0.943981,128.9,0
24745.346937,0.442448,0.946255,129.7,0
24745.429503,0.442552,0.944893,130.2,0
24745.504391,0.444356,0.943569,126.9,0
24745.581251,0.445041,0.944484,125.3,0
24745.671517,0.443189,0.943533,128.9,0
24745.745330,0.443045,0.943088,129.4,0
24745.822074,0.445711,0.943982,124.4,0
24745.903549,0.462621,0.446926,102.9,0
24745.980324,0.463347,0.445992,101.2,0
24746.062829,0.446636,0.943981,123.7,0
24746.139147,0.463421,0.447918,101.1,0
24746.222877,0.464121,0.446909,99.4,0
24746.304698,0.454688,0.944907,109.9,0
24746.380342,0.460961,0.433829,95.5,0
24746.462956,0.460402,0.433029,95.9,0
24746.536879,0.455208,0.945370,108.8,0
24746.612427,0.458600,0.920597,90.7,0
24746.686847,0.453906,0.900000,95.1,0
24746.765721,0.454427,0.900000,94.1,0
24746.844920,0.472656,0.447685,89.1,0
24746.920533,0.464361,0.445886,101.1,0
24746.998250,0.464361,0.445886,101.1,0
24747.078859,0.464480,0.446339,101.3,0
24747.156339,0.464242,0.445433,100.9,0
24747.237293,0.464480,0.446339,101.3,0
24747.311875,0.464209,0.447770,100.6,0
24747.388972,0.464324,0.448218,100.8,0
24747.470303,0.464347,0.449143,100.8,0
24747.545918,0.464776,0.449117,101.6,0
24747.622879,0.464888,0.449138,100.8,0
24747.703920,0.465001,0.448656,101.0,0
24747.779505,0.465121,0.449508,102.2,0
24747.855604,0.464915,0.449969,102.8,0
24747.937998,0.465156,0.451323,102.2,0
24748.012810,0.465070,0.451304,103.0,0
24748.088043,0.464986,0.452214,103.8,0
24748.163008,0.464900,0.453570,103.6,0
24748.238181,0.464900,0.453570,103.6,0
24748.314314,0.465008,0.453082,103.8,0
24748.395984,0.464469,0.452230,103.8,0
24748.472473,0.464146,0.452233,104.3,0
24748.555471,0.464146,0.452233,104.3,0
24748.632117,0.464382,0.453126,104.7,0
24748.713125,0.464382,0.453126,104.7,0
24748.789184,0.464382,0.453126,104.7,0
24748.872333,0.464146,0.452233,104.3,0
24748.954674,0.464146,0.452233,104.3,0
24749.029641,0.464146,0.452233,104.3,0
24749.106357,0.464146,0.452233,104.3,0
24749.187327,0.464699,0.453104,104.3,0
24749.263875,0.464384,0.453590,103.6,0
24749.339609,0.463895,0.450051,102.9,0
24749.421529,0.463516,0.447357,101.3,0
24749.496766,0.463956,0.448277,100.0,0
24749.573777,0.463731,0.447412,99.6,0
24749.654360,0.463821,0.446928,99.8,0
24749.730225,0.463821,0.446928,99.8,0
24749.806362,0.464121,0.446909,99.4,0
24749.888277,0.464212,0.446425,99.6,0
24749.964239,0.460961,0.433829,95.5,0
24750.046913,0.460526,0.433506,96.0,0
24750.121255,0.445833,0.475000,67.4,0
24750.272706,0.471094,0.905093,56.6,0
24750.355753,0.475947,0.408712,52.8,0
24750.431369,0.472656,0.447685,89.1,0
24750.514515,0.460358,0.430859,95.4,0
24750.596350,0.459914,0.430531,95.9,0
24750.673077,0.464182,0.446845,100.7,0
24750.757411,0.464065,0.446398,100.5,0
24750.845698,0.383854,0.285648,97.3,0
24750.926376,0.355208,0.090741,81.7,0
24751.009576,0.350829,0.080440,93.9,0
24751.111317,0.479948,0.094907,76.7,0
24751.481720,0.044848,0.558796,108.2,0
24751.574000,0.044561,0.558796,107.8,0
24751.668291,0.044116,0.559259,106.8,0
24751.760580,0.044116,0.559259,106.8,0
24751.853140,0.044275,0.558796,107.3,0
24752.182670,0.355208,0.092130,84.4,0
24752.284083,0.382292,0.287500,100.8,0
24752.381545,0.420710,0.600921,282.2,0
24752.486322,0.424219,0.265278,182.1,0
24752.578186,0.356794,0.083012,93.6,0
24752.674314,0.357269,0.083950,94.9,0
24752.777977,0.356792,0.085155,95.9,0
24752.923198,0.357031,0.086069,96.9,0
24753.091315,0.355833,0.086963,99.2,0
24753.266122,0.352953,0.087433,101.2,0
24753.438352,0.347542,0.084207,96.2,0
24753.611221,0.279427,0.968056,58.9,0
24753.759278,0.279427,0.968056,58.9,0
24753.897182,0.279427,0.968056,58.9,0
24754.029254,0.279427,0.968056,58.9,0
24754.170862,0.279427,0.968056,58.9,0
24754.311005,0.279427,0.968056,58.9,0
24754.473280,0.379688,0.959722,67.6,0
24754.606145,0.379688,0.959722,67.6,0
24754.689530,0.641667,0.142593,211.6,1
24754.769605,0.638802,0.139815,206.8,1
24754.854832,0.606510,0.127778,143.0,1
24754.933761,0.602340,0.127677,134.2,1
24755.021776,0.426042,0.252315,216.1,0
24755.101724,0.420833,0.258796,204.1,0
24755.193477,0.418229,0.270833,190.6,0
24755.279435,0.635677,0.130093,163.1,1
24755.365241,0.652865,0.133796,172.9,1
24755.458313,0.661719,0.135185,165.0,1
24755.546674,0.417651,0.612026,290.7,0
24755.630471,0.429126,0.611421,278.3,0
24755.708836,0.445342,0.610469,263.4,0
24755.791880,0.429644,0.672894,214.9,0
24755.875366,0.719838,0.138074,147.3,1
24755.958771,0.739062,0.144444,167.9,1
24756.041751,0.757812,0.148611,173.4,1
24756.124558,0.765861,0.148860,162.8,1
24756.209363,0.771615,0.146296,154.8,1
24756.291252,0.776563,0.147222,145.3,1
24756.374343,0.780469,0.145370,136.9,1
24756.457599,0.782552,0.144444,132.6,1
24756.541090,0.784153,0.147614,127.5,1
24756.624535,0.785435,0.148148,124.3,1
24756.708524,0.787273,0.145756,119.7,1
24756.790825,0.788021,0.141667,117.4,1
24756.874464,0.783517,0.141846,122.4,1
24756.958777,0.780066,0.140664,123.8,1
24757.042211,0.778683,0.139016,120.4,1
24757.123824,0.777685,0.137420,117.9,1
24757.206759,0.781250,0.136574,123.7,1
24757.290513,0.786198,0.133796,131.1,1
24757.374668,0.787207,0.139155,131.5,1
24757.458287,0.788806,0.139752,130.4,1
24757.541334,0.804711,0.141334,153.2,1
24757.623750,0.812500,0.137963,156.6,1
24757.709259,0.749229,0.143981,277.7,1
24757.790807,0.452076,0.450673,116.1,0
24757.874987,0.617969,0.137963,186.8,1
24757.955984,0.598582,0.135648,155.0,1
24758.035750,0.593229,0.136574,144.4,1
24758.116331,0.587710,0.136110,131.8,1
24758.199812,0.584933,0.139313,125.3,1
24758.283760,0.593750,0.147222,139.3,1
24758.366009,0.595573,0.145833,138.7,1
24758.450325,0.611198,0.150000,158.0,1
24758.534746,0.634375,0.155556,179.0,1
24758.631781,0.451730,0.451586,116.4,0
24758.722361,0.450382,0.458004,112.9,0
24758.818218,0.449562,0.457782,114.2,0
24758.919615,0.465625,0.602315,253.5,0
24759.021989,0.449598,0.610006,256.0,0
24759.123090,0.449598,0.610006,256.0,0
24759.224877,0.449598,0.610006,256.0,0
24759.331268,0.449506,0.610284,255.8,0
24759.433050,0.449506,0.610284,255.8,0
24759.543786,0.449831,0.609740,256.5,0
24759.651513,0.450208,0.609733,256.2,0
24759.758484,0.450172,0.610904,256.0,0
24759.867464,0.416896,0.542565,216.5,0
24759.975425,0.416929,0.542268,216.7,0
24760.082042,0.439330,0.596820,142.4,0
24760.181352,0.448041,0.458001,113.3,0
24760.274332,0.448041,0.458001,113.3,0
24760.374408,0.449435,0.452335,116.0,0
24760.473252,0.449435,0.452335,116.0,0
24760.564067,0.449825,0.452871,115.8,0
24760.656414,0.449664,0.453526,115.4,0
24760.734928,0.449664,0.453526,115.4,0
24760.816325,0.667708,0.156944,273.7,1
24760.899785,0.666406,0.162037,261.7,1
24760.983065,0.627344,0.168056,179.6,1
24761.066860,0.642642,0.158305,181.3,1
24761.149463,0.648177,0.162037,170.0,1
24761.236286,0.652083,0.141667,155.2,1
24761.316255,0.680182,0.151049,174.6,1
24761.400147,0.689445,0.156224,161.1,1
24761.484608,0.727083,0.152778,200.5,1
24761.565472,0.749479,0.154167,198.4,1
24761.643044,0.756418,0.151311,190.3,1
24761.724131,0.766406,0.156481,170.2,1
24761.807190,0.771615,0.157870,159.8,1
24761.884634,0.777344,0.158333,148.2,1
24761.966969,0.792969,0.160185,152.9,1
24762.049616,0.798698,0.162037,144.7,1
24762.134831,0.804604,0.172275,133.5,1
24762.217386,0.759115,0.170370,220.1,1
24762.299627,0.449480,0.459586,112.2,0
24762.383171,0.638802,0.166204,198.6,1
24762.466508,0.621354,0.167593,169.2,1
24762.549269,0.610328,0.168055,149.3,1
24762.632869,0.603646,0.167130,136.3,1
24762.720069,0.601562,0.167130,130.3,1
24762.800910,0.604299,0.169444,133.3,1
24762.883672,0.615885,0.172222,151.1,1
24762.966381,0.625260,0.175926,159.3,1
24763.049950,0.629427,0.173611,154.9,1
24763.133334,0.646354,0.175000,167.4,1
24763.215605,0.663021,0.176389,175.2,1
24763.291320,0.669531,0.181481,167.2,1
24763.375301,0.682813,0.174537,164.3,1
24763.459432,0.699988,0.178496,169.6,1
24763.542086,0.709635,0.181481,162.5,1
24763.626179,0.714035,0.183270,153.1,1
24763.708648,0.721946,0.194245,145.4,1
24763.790826,0.730469,0.200926,143.5,1
24763.867101,0.733374,0.206681,137.0,1
24763.950172,0.757722,0.196419,159.5,1
24764.036468,0.769792,0.194444,155.7,1
24764.117045,0.776563,0.192593,149.5,1
24764.202173,0.789062,0.195833,159.7,1
24764.283928,0.802637,0.198611,166.3,1
24764.367718,0.810532,0.196759,156.5,1
24764.450803,0.813820,0.197222,149.9,1
24764.534484,0.824219,0.198611,149.7,1
24764.616061,0.830692,0.199699,146.5,1
24764.701239,0.748708,0.198148,299.7,1
24764.783545,0.652865,0.189352,238.9,1
24764.866161,0.616146,0.194907,184.6,1
24764.948929,0.601975,0.191321,158.3,1
24765.024305,0.594747,0.192820,144.0,1
24765.101190,0.592187,0.193981,138.7,1
24765.183198,0.609896,0.195370,168.8,1
24765.267576,0.619792,0.195833,174.1,1
24765.349765,0.622997,0.196981,169.2,1
24765.434480,0.652604,0.197685,199.3,1
24765.518434,0.685677,0.200000,211.0,1
24765.600993,0.701562,0.204630,185.8,1
